Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:02:58.722,114206.0,0.007,BTCUSDT
2025-09-30 00:02:58.722,114206.0,0.002,BTCUSDT
2025-09-30 00:02:58.722,114206.0,0.002,BTCUSDT
2025-09-30 00:02:58.722,114206.0,0.259,BTCUSDT
2025-09-30 00:02:58.722,114206.0,0.075,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.187,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.121,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.001,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.054,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.003,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.259,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.011,BTCUSDT
2025-09-30 00:02:58.776,114206.0,0.026,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.233,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.001,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.001,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.001,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.006,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.001,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.002,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.063,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.002,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.032,BTCUSDT
2025-09-30 00:02:58.777,114206.0,0.008,BTCUSDT
2025-09-30 00:02:58.777,114205.9,0.002,BTCUSDT
2025-09-30 00:02:58.777,114205.9,0.001,BTCUSDT
2025-09-30 00:02:58.777,114205.9,0.001,BTCUSDT
2025-09-30 00:02:58.777,114205.5,0.002,BTCUSDT
2025-09-30 00:02:58.781,114205.2,0.002,BTCUSDT
2025-09-30 00:02:58.781,114205.2,0.001,BTCUSDT
2025-09-30 00:02:58.781,114205.1,0.001,BTCUSDT
2025-09-30 00:02:58.781,114204.9,0.001,BTCUSDT
2025-09-30 00:02:58.781,114204.7,0.002,BTCUSDT
2025-09-30 00:02:58.781,114204.6,0.001,BTCUSDT
2025-09-30 00:02:58.781,114204.2,0.001,BTCUSDT
2025-09-30 00:02:58.781,114204.1,0.002,BTCUSDT
2025-09-30 00:02:58.781,114204.1,0.002,BTCUSDT
2025-09-30 00:02:58.781,114203.9,0.002,BTCUSDT
2025-09-30 00:02:58.781,114203.8,0.001,BTCUSDT
2025-09-30 00:02:58.781,114203.4,0.002,BTCUSDT
2025-09-30 00:02:58.781,114203.1,0.002,BTCUSDT
2025-09-30 00:02:58.781,114203.1,0.001,BTCUSDT
2025-09-30 00:02:58.781,114202.9,0.002,BTCUSDT
2025-09-30 00:02:58.781,114202.6,0.001,BTCUSDT
2025-09-30 00:02:58.781,114202.4,0.002,BTCUSDT
2025-09-30 00:02:58.781,114202.3,0.002,BTCUSDT
2025-09-30 00:02:58.781,114202.1,0.026,BTCUSDT
2025-09-30 00:02:58.781,114201.9,0.002,BTCUSDT
2025-09-30 00:02:58.781,114201.9,0.003,BTCUSDT
2025-09-30 00:02:58.781,114201.8,0.002,BTCUSDT
2025-09-30 00:02:58.781,114201.7,0.001,BTCUSDT
2025-09-30 00:02:58.781,114201.7,0.001,BTCUSDT
2025-09-30 00:02:58.781,114201.7,0.002,BTCUSDT
2025-09-30 00:02:58.781,114201.6,0.001,BTCUSDT
2025-09-30 00:02:58.781,114201.6,0.002,BTCUSDT
2025-09-30 00:02:58.783,114201.3,0.034,BTCUSDT
2025-09-30 00:02:58.783,114201.3,0.001,BTCUSDT
2025-09-30 00:02:58.783,114201.3,0.001,BTCUSDT
2025-09-30 00:02:58.784,114201.1,0.005,BTCUSDT
2025-09-30 00:02:58.784,114200.8,0.002,BTCUSDT
2025-09-30 00:02:58.784,114200.6,0.002,BTCUSDT
